ItemID	Accessories Included	Accessory Type	Bag Color	Bag Depth	Bag Height	Bag Length	Bag Material	Bag Width	Ball Valve Lockout Type	Base Clamping Unit Height	Base Clamping Unit Material	Blocking Arm Height	Blocking Arm Material	Blocking Arm Size	Blocking Arm Width	Blockout Height	Body Color	Body Depth	Body Height	Body Material	Body Width	Box Color	Box Depth	Box Height	Box Interior Features	Box Material	Box Width	Cabinet Color	Cabinet Depth	Cabinet Finish/Coating	Cabinet Height	Cabinet Interior Features	Cabinet Material	Cabinet Type	Cabinet Width	Cable & Chain Lockouts Included	Cable Color	Cable Diameter	Cable Finish/Coating	Cable Length	Cable Lockout Type	Cable Material	Circuit Breaker Lockout Type	Clear Window?	Cleat Depth	Cleat Height	Cleat Width	Color	Component Type	Cylinder Valve Lockout Type	Depth	Device Types in Kit	Door Type	Electrical Lockouts Included	Enables Industry Compliance	Finish/Coating	Fittings Accommodated	Fuse Size	Gate Valve Lockout Type	Group Lockout Boxes Included	Handle Thickness	Handle/Toggle Width	Hanging Hardware Included?	Hasp Body Color	Hasp Depth	Hasp Height	Hasp Material	Hasp Type	Hasp Width	Hasps Included	Height	High-visibility?	Hose Lockout Type	Includes	Inside Jaw Size	Installation Tool Required?	Label Language	Label Message	Labeled?	Labels Included	Lockable?	Lockout Box Color	Lockout Box Depth	Lockout Box Height	Lockout Box Material	Lockout Box Type	Lockout Box Width	Lockout Color	Lockout Depth	Lockout Diameter	Lockout Height	Lockout Length	Lockout Material	Lockout Size	Lockout Type	Lockout Width	Manuals & Training Materials Included	Material	Maximum Cord Diameter	Maximum Handle Thickness	Maximum Handle Width	Maximum Number of Padlocks	Maximum Number of Padlocks Attached	Maximum Number of Padlocks Stored	Maximum Pipe Diameter	Maximum Plug Diameter	Maximum Plug Length	Maximum Plug Size	Maximum Service Temperature	Maximum Shackle Diameter	Maximum Stem Diameter	Maximum Switch Width	Maximum Valve Size	Minimum Pipe Diameter	Minimum Service Temperature	Minimum Stem Diameter	Minimum Valve Size	Non-conductive Cable?	Non-conductive?	Number of Jaws	Number of Loops	Open or Closed Valve?	Padlocks Included	Pipe Diameter Range	Plug Lockout Type	Plug Voltage	Reverse Label Message	Rising Stem Knockout Hole Diameter	Risk Type	Service Temperature Range	Single-pole Lockout Type	Station Color	Station Depth	Station Features	Station Height	Station Material	Station Width	Steel Type	Stem Diameter Range	Storage Container Color	Storage Container Depth	Storage Container Finish/Coating	Storage Container Height	Storage Container Language	Storage Container Material	Storage Container Type	Storage Container Width	Tags Included	Thread Type	Title	Tool Color	Training Material Type	Type	Valve Lockouts Included	Valve Size Range	Valve Stem Hole Size	Valve Wheel Diameter	Video Format	Video Length	Voltage	Wall Switch Type	Width	With Cable?
Y272273																																																				Electrical Risk & Mechanical Risk Lockouts		(1) 1 in Multiple Lockout Device, (1) 1-1/2 in Multiple Lockout Device, (10) Lockout Tags with Ties(1) 3-in-1 Electrical Plug Lockout, (1) Small Plug Lockout(1) Single-Pole Breaker Lockout, (2) Multi-Pole Breaker Lockout																																																																					(3) Red Safety Padlocks, (3) Yellow Safety Padlocks																	Black on Yellow	6 in	Powder-Coated	16 in	English	Metal	Cabinet-style Wall-mounted Station	14 in	(10) Lockout Tags with Ties						(1) 1 in to 2-1/2 in Safetee™ Donut(1) 2-1/2 in to 5 in Safetee™ Donut									
Y272282																																											Single-Pole												ANSI Z244, OSHA 29 CFR 1910.147							1/2 in																										Red	0.5 in		2.02 in		Polycarbonate	2.02 x 1.12 x 0.5 in		1.12 in																																	Electrical Risk		No-Hole Clamp-On																																
Y308006																																												No Clear Window											ANSI Z244, OSHA 29 CFR 1910.147																			Instruction Manual(1) Red Storage Board(1) Dry Erase Marker, Mounting Hardware(2) SHOCK-STOP Hasps, (6) Metal Hooks			English	WHEN IN DOUBT LOCK IT OUT				Black (Box)White on Red (Board)	2-1/2 in	16-1/2 in		Wall Mount	10-1/2 in																6																																																		Group Lockout Box										
Y1453006																																											Single-Pole																																																																																								Clamp-on																																
Y1454609																	Yellow		7.19 in	Nylon																	Silver	1/8 in	Galvanized	6 ft	Pull-tight	Steel													ANSI Z244, OSHA 29 CFR 1910.147																					Tool Not Required			No Label Attached																							1																Cable Not Non-Conductive											Mechanical Risk																																		With Cable
Y1761165																																																													2 to 4 in																											Red	1 in		7.07 in		Nylon			3.75 in																							Not Non-Conductive										Mechanical Risk																																		
Y1984201																																																				Electrical Risk Lockouts		(1) Electrical Lockout Starter Kit																																																																																																													
Y198940																																																		Low-pressure Cylinder					ANSI Z244, OSHA 29 CFR 1910.147	Powder-coated																																Yellow		3.858 in	9.962 in		Steel			5.004 in						1							+95 °C						-35 °C				Not Non-Conductive										Mechanical Risk	-35 to +95 °C																			Coarse														
Y2231427																	Yellow																																																																																																																																																		Without Cable
Y2231429		Lockout Operating Tool																																																																																																																																																					Red												
Y2231434		Cable Spool																																																																																																																																																					Yellow												
Y2231436		Cable Spool																																																																																																																																																					Red												
Y2231458																	Red																				Red			59 in	Pull-tight																																			Tool Not Required			No Label Attached																																																		Mechanical Risk																																		With Cable
Y344522																																																																																																																																																		Bag																	
Y344524																																																																																																																																																		Bag																	
Y344527																																																												(1) Box																																																																																						Box																	
Y344530																																																																																																																																																		Bag																	
Y381410									Fits over Valve																																										4.07 in				OSHA 29 CFR 1910.147ANSI Z244																5.29 in																	Red					Polypropylene									4			2-1/2 in				+80 °C				1-1/4 in	1/2 in	-20 °C		1/2 in		Not Non-Conductive			Open or Closed		1/2 to 2-1/2 in					Mechanical Risk	-20 to +80 °C																									1/2 to 1-1/4 in							3.05 in	
Y382887																																		Cabinet with Carrying Handle																																																																																																																																	
Y382900																																												Clear Window											OSHA 29 CFR 1910.147ANSI Z244																			Plastic Hooks			English	GROUP LOCKOUT				Yellow on Red	2-1/2 in	7-1/2 in	Acrylic	Wall Mount	12 in																	10																																																	Group Lockout Box										
Y383301																																					Yellow			9 in																																																																															Non-Conductive										Electrical Risk																																		
Y383494																																																				Mechanical Risk Lockouts																																																																																																						Valve Lockout Kit									
Y383606									Fits over Valve																																										0.29 in				ANSI Z244, OSHA 29 CFR 1910.147																4.07 in																	Blue					Polypropylene									4			2-1/2 in				+80 °C				1-1/4 in	1/2 in	-20 °C		1/2 in		Not Non-Conductive			Open or Closed		1/2 to 2-1/2 in					Mechanical Risk	-20 to +80 °C																									1/2 to 1-1/4 in							3.05 in	
Y1449387																																											Single-Pole																																																																																								Snap-On																																
Y1449389																																											Single-Pole																																																																																								Snap-On																																
Y1449392																																											Single-Pole												OSHA 29 CFR 1910.147ANSI Z244							0.35 in																										Red	0.74 in		1.88 in		Glass-filled Polyurethane	1.88 x 0.9 x 0.74 in		0.9 in																																	Electrical Risk		Snap-On																													120/277 V			
Y1449393																																											Single-Pole												ANSI Z244, OSHA 29 CFR 1910.147							0.35 in																										Red	0.74 in		1.88 in		Glass-filled Polyurethane	1.88 x 0.9 x 0.74 in		0.9 in																																	Electrical Risk		Snap-On																													120/277 V			
Y1454388																	Red		7.19 in	Nylon																	Silver	1/8 in	Galvanized	6 ft	Pull-tight	Steel													ANSI Z244, OSHA 29 CFR 1910.147																					Tool Not Required			No Label Attached																							1																Cable Not Non-Conductive											Mechanical Risk																																		With Cable
Y196594																																																							ANSI Z244OSHA 29 CFR 1910.147																																	Red			1.638 in		Fiberglass Reinforced Nylon		Pin Out Standard	0.95 in														9/32 in																			Electrical Risk																																		
Y196595																																																							ANSI Z244, OSHA 29 CFR 1910.147																																	Red			1.638 in		Fiberglass Reinforced Nylon		Pin Out Standard	0.95 in														9/32 in																			Electrical Risk																																		
Y196701																																																							ANSI Z244, OSHA 29 CFR 1910.147																																	Red			1.64 in		Fiberglass Reinforced Nylon		Pin Out Wide	0.83 in														9/32 in																			Electrical Risk																																		
Y198937																																																		High-pressure Cylinder					ANSI Z244OSHA 29 CFR 1910.147	Powder-coated																																Yellow		3.858 in	9.962 in		Steel			5.004 in						1							+95 °C						-35 °C				Not Non-Conductive										Mechanical Risk	-35 to +95 °C																			Fine														
Y209473	(2) 4 in Yellow Mounting Rails, (3) Alcohol Wipes(1) 7.6 in Green Blocking Bar(1) 7.6 in Red Blocking Bar, (1) Blocking Bar Holder																																																			Electrical Risk Lockouts																																																																																														No Storage Container																	
Y209474		Breaker Blocker Bar																																												7.6 (Blocker Bar Length) in		Red																																																																																																																480/600 V			
Y209475		Breaker Blocker Bar																																												7.6 (Blocker Bar Length) in		Green																																																																																																																480/600 V			
Y2231437		Cable Spool																																																																																																																																																					Yellow												
Y2231438		Cable Spool																																																																																																																																																					Green												
Y2231488																																					Yellow			59 in																																																																																																																											With Cable
Y2231489																																					Green			59 in																																																																																																																											With Cable
Y2328260																																											Multi-Pole Tie Bar												ANSI Z244, OSHA 29 CFR 1910.147																																	Red	0.33 in		2.14 in		Nylon	2.14 x 1.19 x 0.33 in		1.19 in														9/32 in																			Electrical Risk		Snap-On																													120 V			
Y235293		Circuit Breaker Board																																																																																																																																																																	
Y236160																																																																																								Red																															Not Non-Conductive										Mechanical Risk																																		
Y2231482																																					Yellow			59 in																																																																																									Mechanical Risk																																		With Cable
Y2231483																																					Green			59 in																																																																																									Mechanical Risk																																		With Cable
Y2231486																	Green																																																																																																																Mechanical Risk																																		
Y2328259																																											Single-Pole												ANSI Z244, OSHA 29 CFR 1910.147							0.42 in																										Red	0.74 in		2.56 in		Glass-filled Polyurethane	2.56 x 0.95 x 0.74 in		0.95 in																																	Electrical Risk		No-Hole Clamp-On																													120/277 V			
Y2555667																																					Red		Plastic	2 ft		Steel																																																																													Not Non-Conductive		Double-loop								Mechanical Risk																																		
Y2555668																																					Red		Plastic	4 ft		Steel																																																																													Not Non-Conductive		Double-loop								Mechanical Risk																																		
Y2555669																																					Red		Plastic	6 ft		Steel																																																																													Not Non-Conductive		Double-loop								Mechanical Risk																																		
Y2555670																																					Red		Plastic	8 ft		Steel																																																																													Not Non-Conductive		Double-loop								Mechanical Risk																																		
Y335014		Spacing Gasket																																											3/8 (Gasket Depth) in	15 (Gasket Length) ft	1 (Gasket Width) in																																																																																																																				
Y341239		Mounting Rail																																												4 (Rail Length) in																																																																																																																					
Y2231485																	Yellow																																																																																																																Mechanical Risk																																		
Y2231487																																					Red			59 in																																																																																																																											With Cable
Y237155	(1) AC Sensor, (1) Prinzing Plastic Utility Box																																			(1) Economy Cable Lockout With 6 ft Cable (CABLO)																Electrical Risk & Mechanical Risk Lockouts		(1) Prinzing 3-in-1 Plug Lockout - English(3) Prinzing Single-Pole Breaker Lockouts(1) Prinzing Wall Switch Lockout, (2) Prinzing Multi-Pole Breaker Lockouts						(1) Utility Box: 7.5 in H x 14 in W x 8 in D										(3) Yellow Lockout Hasps (1.5 in Diameter Jaws)										(1) Prinzing Label For Lockout Kits, (1) Prinzing Lock Identifier(5) Lockout Labels 5 in x 7 in(5) Lockout Labels 3 in x 5 in																	(1) Prinzing Single Booklet																										(3) Blue Prinzing Padlocks																	Black	8 in		7.5 in		Plastic	Box	14 in	(20) Prinzing Lockout Tags						(1) Prinzing Safety Donut 1 in to 2-1/2 in, (1) Prinzing Safety Donut 2-1/2 in to 5 in									
Y241894																																																							ANSI Z244, OSHA 29 CFR 1910.147	Vinyl-CoatedEpoxy-Coated								Yellow	0.4 in	5.09 in	Steel	Scissor-Action	2.3 in			High-Visibility			1.52 in				No Label Attached																							6								0.47 in									Not Non-Conductive	1									Mechanical Risk																																		
Y272280	(1) AC Sensor, (1) Prinzing Plastic Utility Box																																			(1) Economy Cable Lockout With 6 ft Cable (CABLO)																Electrical Risk & Mechanical Risk Lockouts		(1) Prinzing Plug Lockout Device, (1) Prinzing Wall Switch Lockout(2) Prinzing Multi-Pole Breaker Lockouts(1) Prinzing 3-in-1 Plug Lockout - English, (2) Prinzing "No Hole" Breaker Lockouts						(1) Utility Box: 7.5 in H x 14 in W x 8 in D										(1) Yellow Lockout Hasp (1 in Diameter Jaws), (1) Yellow Lockout Hasp (1.5 in Diameter Jaws)										(1) Prinzing Label For Lockout Kits, (1) Prinzing Lock Identifier																	(1) Prinzing Single Booklet																										(3) Blue Prinzing Padlocks																	Gray	8 in		7.5 in		Plastic	Box	14 in	(10) Prinzing Lockout Tags						(1) Prinzing Safety Donut 1 in to 2-1/2 in, (1) Prinzing Safety Donut 2-1/2 in to 5 in(1) Small Prinzing Ball Valve Lockout									
Y272283																																											Single-Pole																																													Red					Polycarbonate																																				Electrical Risk																																		
Y383608									Fits over Valve																																										0.29 in				ANSI Z244, OSHA 29 CFR 1910.147																4.07 in																	Yellow					Polypropylene									4			2-1/2 in				+80 °C				1-1/4 in	1/2 in	-20 °C		1/2 in		Not Non-Conductive			Open or Closed		1/2 to 2-1/2 in					Mechanical Risk	-20 to +80 °C																									1/2 to 1-1/4 in							3.05 in	
Y383612									Fits over Valve																																										4.07 in				ANSI Z244, OSHA 29 CFR 1910.147																5.29 in																	Yellow					Polypropylene									6			8 in				+80 °C					2 in	-20 °C				Not Non-Conductive			Open or Closed		2 to 8 in					Mechanical Risk	-20 to +80 °C																																3.05 in	
Y383714																																																				Mechanical Risk Lockouts																																																																							(10) Padlocks																	Black on Yellow				English		Open-front Wall-mounted Station		Tags with Hasp															
Y383718																																																				Mechanical Risk Lockouts																		(2) Hasps																																																					(6) Padlocks																	Black on Yellow				English/Spanish		Open-front Wall-mounted Station		Tags with Ties															
Y383729	(1) Polyethylene Carrying Case																																			(2) Cable Lockout Devices (CABLO)																Electrical Risk Lockouts																		(1) 1 in Steel Lockout Hasp																																																					(2) Blue Padlocks																	Gray	5 in		7 in		Polyethylene	Box	12 in	(2) English/Spanish Lockout Tags with Ties															
Y383806																																																																															No Label Attached									Red														1																							Plug-encasing				Electrical Risk																																		
Y383875																																																							ANSI Z244, OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Yellow														2																											Mechanical Risk																												1 to 2.5 in						
Y383877																																																							ANSI Z244, OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Red														2																											Mechanical Risk																												2.5 to 5 in						
Y241893																																																							ANSI Z244, OSHA 29 CFR 1910.147	Vinyl-CoatedEpoxy-Coated								Yellow	0.4 in	5.09 in	Steel	Scissor-Action	2.3 in			High-Visibility			1 in				No Label Attached																							6								0.47 in									Not Non-Conductive	1									Mechanical Risk																																		
Y268080																												Red	2 in	Powder-coated	15-1/2 in	Hooks	Steel	Cabinet	18 in																		Opaque										Hanging Hardware Included														English	PADLOCK CONTROL CABINET LOCK OUT FOR SAFETY BEFORE YOU START	Label Attached		Lockable																																																																																		
Y272264																												Red	2 in	Powder-coated	10 in	Hooks	Steel	Cabinet	12 in																		Opaque										Hanging Hardware Included														English	PADLOCK CONTROL CABINET LOCK OUT FOR SAFETY BEFORE YOU START	Label Attached		Lockable																																																																																		
Y272269																												Yellow	6 in	Powder-coated	16 in	Shelves	Metal	Cabinet with Carrying Handle	14 in																		Opaque										Hanging Hardware Included																Label Attached		Lockable																																																																																		
Y273773																	Red	0.65 in	5.84 in	Glass-filled Polypropylene	2 in																Red	3/16 in	Plastic	6 ft	Tab-cinching	Steel													ANSI Z244, OSHA 29 CFR 1910.147																					Tool Not Required	English	CABLE LOCKOUT DEVICE WARNING	Label Attached																							6								9/32 in								Not Non-conductive											Mechanical Risk																																		With Cable
Y344531																																																				Electrical Risk Lockouts		(1) Breaker Lockout Kit																																																																																												Bag																	
Y383557																																																							ANSI Z244, OSHA 29 CFR 1910.147							3 in																										Red			4 in		Polycarbonate			3.67 in																																	Electrical Risk																																		
Y383723	(1) Lockout Tagout Cabinet with Locking Handle																																			(50) 7 in Red Cable Ties																Electrical Risk & Mechanical Risk Lockouts		(2) Prinzing 3-in-1 Plug Lockouts - English, (3) Prinzing "No Hole" Breaker Lockouts, (3) Prinzing Multi-Pole Breaker Lockouts(3) Prinzing Wall Switch Lockouts																(6) Yellow Lockout Hasps (1.5 in Diameter Jaws)										(1) Prinzing Lockout Miniposter																	(1) Prinzing OSHA Summary Sheet																																											White				English		Cabinet-style Wall-mounted Station		(25) Prinzing Danger Tags						(1) Small Prinzing Ball Valve Lockout, (2) Prinzing Safetee Donuts 2-1/2 in To 5 in									
Y308007																																																							ANSI Z244OSHA 29 CFR 1910.147	Rust-Proof Plating, Vinyl-Coated								Silver	0.178 in	5.456 in	Steel	Scissor-Action	3.468 in			High-Visibility			1.181 in		English	DANGER STOP DO NOT OPERATE	Label Attached																							6								0.323 in									Not Non-Conductive	1									Mechanical Risk																																		
Y333547																																																																																																																																																		Bag																	
Y344526																																																												(1) Box																																																																																						Box																	
Y344528																																																				Electrical Risk Lockouts		(1) Electrical Power Kit without Lock																																																																																												Bag																	
Y351300																																																																									Pneumatic Quick Disconnect																																																								Mechanical Risk																																		
Y368958																																																				Mechanical Risk Lockouts																																													(25) Lockout Safety Procedures Forms(1) Binder																																											Black/Red on White	4.5 in		20 in	English	Polystyrene	Open-front Wall-mounted Station	14 in																
Y381411									Fits over Valve																																										8.66 in				ANSI Z244, OSHA 29 CFR 1910.147																12 in																	Red					Polypropylene									6			8 in				+80 °C					2 in	-20 °C				Not Non-Conductive			Open or Closed		2 to 8 in					Mechanical Risk	-20 to +80 °C																																4.65 in	
Y382906																						Gray	8 in	7.5 in	Removable Tray	Polyethylene	14 in																																																																																																																																								
Y383607									Fits over Valve																																										0.29 in				OSHA 29 CFR 1910.147ANSI Z244																4.07 in																	Green					Polypropylene									4			2-1/2 in				+80 °C				1-1/4 in	1/2 in	-20 °C		1/2 in		Not Non-Conductive			Open or Closed		1/2 to 2-1/2 in					Mechanical Risk	-20 to +80 °C																									1/2 to 1-1/4 in							3.05 in	
Y384851																																																																																																																																																		Box																	
Y384907																																																																																																																																				White																															
Y384912																																																				Electrical Risk & Mechanical Risk Lockouts		(2) Plug Lockouts																(6) Hasps																																																					(2) Padlocks																	White				English		Cabinet-style Wall-mounted Station		Tags with Ties						(2) Gate Valve Lockouts									
Y384914																																																				Electrical Risk & Mechanical Risk Lockouts		(3) Circuit Breaker Lockouts(2) Plug Lockouts																(6) Hasps																																																					(6) Padlocks																	Black on Yellow				English		Cabinet-style Wall-mounted Station		Tags with Ties						(1) Ball Valve Lockout(1) Gate Valve Lockout									
Y384959																																																				Electrical Risk Lockouts																																																																																														Bag																	
Y385002																																																							OSHA 29 CFR 1910.147ANSI Z244																						English/Spanish	PLUG LOCKOUT DO NOT PLUG IN/SEGURO DE CONECTOR NO CONECTAR	Label Attached									Yellow					Polypropylene						1-1/4 in							3 in	5-1/2 in	5-1/2 x 3 in																	Plug-encasing				Electrical Risk																																		
Y385319																																																							ANSI Z244, OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Blue														2																											Mechanical Risk																												1 to 2.5 in						
Y385321																																																							ANSI Z244, OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Blue														2																											Mechanical Risk																												2.5 to 5 in						
Y385323																																																							ANSI Z244, OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Yellow														2																											Mechanical Risk																												2.5 to 5 in						
Y383725																																												Clear Window											OSHA 29 CFR 1910.147ANSI Z244																			Plastic Hooks			English	GROUP LOCKOUT				Yellow on Red	2-1/2 in	6 in	Acrylic	Wall Mount	6 in																	6																																																	Group Lockout Box										
Y383732																																																																																																																																												Red																							
Y383810																																																							ANSI Z244, OSHA 29 CFR 1910.147		0.15 in																				English	LOCKOUT DEVICE DO NOT PLUG IN	Label Attached									Red	3.78 in			6.42 in	Polystyrene	6.42 x 4.62 x 3.78 in		4.62 in			0.37 in			4				3-1/2 in	5 in	5 x 3-1/2 in		0.31 in																110 V220 V550 V			Electrical RiskMechanical Risk																																		
Y383874																																																							ANSI Z244, OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Red														2																											Mechanical Risk																												1 to 2.5 in						
Y383879																																																							ANSI Z244, OSHA 29 CFR 1910.147																																	Red																																									Mechanical Risk																												6.5 to 10 in						
